Dealer Code,Name,Target 202404,Sale upto 15.04.2024
9121005657,MEGHANI TRADING,74,31
9121005819,GAYATRI SALES AGENCY,155,56
9121005820,JAY SHREE MARUTI TRADERS,180,46.25
9121006120,AAI SONAL CEMENT DEPOT,60,30
9121006124,M/s. Ambaji Cement Depot,40,15
9121006126,AGRI BUSINESS CENTRE,55,10
9121006134,ASHARAM CEMENT & SANITATION,323,57
9121006138,ARADHANA TRADING,48,13
9121006140,A-ONE TRADERS,241,25
9121006297,CHANDRESH TRADING,50,10
9121006298,CHAMUNDA CEMENT PIPE INDUSTRIE,19,3
9121006306,ABDULKADAR & BROTHERS,70,14.25
9121006307,ALPA TRADERS,130,45
9121006308,A ONE TRADERS,70,14.5
9121006321,ARIHANT CORPORATION,133,35.5
9121006322,ANAND DISTRIBUTORS,73,61
9121006326,I SHRI TRISHUL CORPORATION,120,3
9121006334,ANIL TRADERS,165,43.5
9121006336,ARIHANT TRADERS,110,53
9121006337,AMRUT TRADERS,170,97
9121006339,AVDHOOT CEMENT & SANITARY,79,15
9121006344,ANURADHA TRADING CO.,163,139
9121006346,AMBICA TRADERS,165,43.5
9121006351,AAKASH CEMENT DEPOT,150,33.5
9121006353,ANAND CORPORATION,300,126.5
9121006359,AMRUT SALES AGENCY,70,54.5
9121006362,ASHOK CORPORATION,125,24.5
9121006364,AGRO SERVICE CENTRE,133,25
9121006366,AMBICA CEMENT SUPPLIERS,312,65
9121006367,AGRO SERVICE CENTRE-UMRETH,60,5
9121006369,AKSHAR HARDWARE,54,26
9121006378,AMAR STEEL,73,5
9121006380,AMARDEEP TRADERS,113,20
9121006381,AMIT TRADERS,142,30
9121006387,ASHOK TRADERS,45,11
9121006389,ANIL TRADERS,140,38.5
9121006397,Anjali Sales Agency,95,28
9121006400,ANIL HARDWARE,120,7
9121006401,ASHAPURA SALES AGENCIES,65,20
9121006402,AARTI CEMENT PROCESS,227,122
9121006421,GEETA CEMENT DEPOT,70,15
9121006422,GANESH H/W AND ELECTRIC STORE,110,26
9121006425,GAYATRI TRADERS (G),80,15
9121006428,GOPAL CEMENT DEPOT,124,52
9121006434,DILIPKUMAR VANMALIDAS MISTRI,55,26.5
9121006436,DIXIT TRADING CO.,68,18
9121006439,DEEPAK SAW MILL,304,228.5
9121006441,BHARAT AGRO CENTRE,485,80.5
9121006443,BHAGWATI TRADERS,239,78
9121006448,BHAVNA TRADERS,615,127.8
9121006452,BHARAT H/W & MACHINERY STORES,135,18
9121006453,BURHANI GENERAL STORES,45,72
9121006457,BHAGWATI TRADERS,55,42.8
9121006458,BHUVNESHVARI CEMENT DEPOT,101,33.5
9121006459,BHARAT CEMENT DEPOT,55,20
9121006461,BHIKHABHAI BHALABHAI & CO.,30,2.5
9121006465,BHAVESH SALES AGENCY,1294,795.55
9121006468,BUILDCARE CORPORATION,133,86
9121006473,BHARAT STEEL SUPPLIERS,173,44.5
9121006480,B. PRAKASH & CO.,323,44
9121006482,BHAGWATI TRADERS,80,35
9121006486,BHAARAT STEEL SUPPLIERS,640,198
9121006490,BANAS CEMENT CORPORATION,100,2.5
9121006493,BIGRI PONSARI VIBHAG VIVIDH-,130,32
9121006496,BHOOMI CEMENT SALES,150,59
9121006502,BAJRANG CEMENT DEPOT,35,13
9121006503,BHATTI CEMENT DEPOT,93,10
9121006504,BHOOMI SALES,35,36.5
9121006508,BOOT BHAVANI TRADERS,295,124
9121006510,BHATTI BUILDING MATERIALS,93,20
9121006512,BAHUCHAR TRADERS,140,27
9121006513,BHAVNA TRADERS(KRISHNANAGAR),30,8.5
9121006515,BAVISHI STEEL TRADERS,204,75
9121006520,BRAHMANI TRADERS(ODHAV),35,5
9121006523,BHUMI TRADING,219,78
9121006534,CHANDAN & COMPANY,60,30
9121006535,CHAMUNDA TRADERS,213,44
9121006537,CHHABADA CEMENT SUPPLIERS,55,10
9121006545,CHAMUNDA TRADERS,162,26
9121006554,JAY TRADERS,15,10
9121006559,JAIMIN STEEL CORPORATION,51,5
9121006562,JAY MAMA TRADERS,120,20
9121006563,J.K.TRADERS,84,17.5
9121006565,JAY AMBE TRADERS,18,5
9121006566,JAY BHAVANI TRADERS,80,30
9121006571,JANTA TRADERS,192,52
